n,tape,led,width,width_error,height,height_error
1.0,0.1,4.6,166.89149528346977,6.70984545024291,165.81488794163167,7.0625164697407445
1.0,0.1,6.6,107.61137109938676,4.713699162900177,107.1929575842354,4.888280411279309
1.0,0.1,8.6,96.35727204635779,4.879559519445465,95.34249699983816,4.973984371223297
1.0,0.1,10.6,63.75289898106181,4.288580465360157,62.90610919749296,4.511786854768357
1.0,0.1,12.6,49.1179011412604,4.017374093392276,49.119405555258545,4.159991919199507
1.0,0.1,14.6,40.38569959127799,2.925413392819453,40.14283841600615,2.938912537469511
1.0,0.125,4.6,184.86124795908663,6.327728647944896,188.83559759820392,6.3740052337458915
1.0,0.125,6.6,135.3778196785688,5.878985161266059,132.855372034804,6.207687190885246
1.0,0.125,8.6,105.46083135475243,5.29896015322645,104.09813787910356,5.202113185404746
1.0,0.125,10.6,78.04550754374925,4.334168037189594,78.04220638619218,4.445952905481508
1.0,0.125,12.6,66.97748514685328,4.492307310836107,66.73629464670243,4.51053623820855
1.0,0.125,14.6,52.98738592164202,3.6955845141243966,52.536980711441906,3.90631053375813
1.0,0.15,4.6,195.27626009587127,9.14459420923698,194.73771710044443,9.010928837485363
1.0,0.15,6.6,137.68817256827523,8.379392274208872,136.70941810182373,8.455206011896445
1.0,0.15,8.6,101.79516544083195,7.79332811979141,100.65163542348814,7.593054196533806
1.0,0.15,10.6,133.90761192031,8.06486909689551,368.2188044714411,8.070062963225677
1.0,0.15,12.6,72.46688279258159,7.411562555245767,73.50124435693071,7.486552642846192
1.0,0.15,14.6,46.705156486364984,6.14346330296383,45.85529937267236,6.03315323648296
1.0,0.175,4.6,236.90835140674832,7.086020432878024,233.7859475462377,7.258048904781111
1.0,0.175,6.6,164.4356901721154,5.90971788149628,162.15718074525222,6.04373670735487
1.0,0.175,8.6,132.07495618114817,5.290443398476796,131.7156907990946,5.335781645525094
1.0,0.175,10.6,105.7156296347314,5.020583794414093,105.94355291607407,5.155141329316393
1.0,0.175,12.6,77.73336737236107,4.342366558716193,78.48183326774587,4.619094036177678
1.0,0.175,14.6,70.55275926960789,4.546328102513465,70.93375150685368,4.679127733505557
1.0,0.2,4.6,280.5366006320943,7.460310851370273,282.8058565227089,6.881209463748907
1.0,0.2,6.6,196.3263244327558,6.4749292972911325,195.28925457763947,6.277602167894517
1.0,0.2,8.6,153.9529263630186,5.678002200370368,153.6744568111914,5.8644583118155404
1.0,0.2,10.6,114.64921005510526,5.200448496532258,114.87637919221483,5.275533431523051
1.0,0.2,12.6,99.28454425519814,4.866444247972679,98.94735578647943,5.048782093951979
1.0,0.2,14.6,82.62842107878588,4.769295453802471,83.15013127879779,4.935324483697647
1.0,0.225,6.6,240.6153558177528,6.7514549945157105,235.61871167271352,6.697786969342744
1.0,0.225,8.6,179.64375893633743,6.08832200582639,178.97999680256655,6.166092634989697
1.0,0.225,10.6,146.85151129878227,5.444216587691484,147.04448558790816,5.846272844846728
1.0,0.225,12.6,116.39708847243904,5.455876912502424,116.31174950519723,5.525347414277438
1.0,0.225,14.6,104.29820782699157,5.237094358753353,104.47268012001882,5.2669306638772975
1.0,0.25,8.6,208.5776820699244,8.960823444057352,207.80887318424922,9.062420277382266
1.0,0.25,10.6,171.6980859672428,8.470226216893968,171.5900593943972,8.265646588708435
1.0,0.25,12.6,140.8418209188008,7.890366654924031,140.73813094677183,8.305806881579343
1.0,0.25,14.6,108.46301004135266,7.966415494809127,107.98379543336341,7.9649752620065675
1.0,0.275,8.6,229.56381898677208,6.536838351179865,231.09422053273812,6.431732572176647
1.0,0.275,10.6,185.77275388520906,6.217939050153469,186.73812984764388,5.995878072675767
1.0,0.275,12.6,143.73129100882014,5.4908910179399815,144.4036361542587,6.006339885424911
1.0,0.275,14.6,133.89948574149062,5.460657569186122,134.22117351137393,5.647062809240779
1.0,0.3,10.6,207.01319600900348,6.468465677381589,207.54610324826217,6.672365544147734
1.0,0.3,12.6,175.19955589248252,5.913311507245579,176.18253166259,6.038476797797438
1.0,0.3,14.6,138.33504162470575,5.543059664872983,138.7065527049793,5.596194182037981
2.0,0.1,4.6,143.17138804902902,6.051396580587541,145.00751500125708,6.318116953337686
2.0,0.1,6.6,102.35214819836011,5.069299326425607,102.04218362771051,5.178356024897158
2.0,0.1,8.6,83.55944949771595,4.392813792613522,83.38993914916796,4.456274345879593
2.0,0.1,10.6,63.29999158402136,4.080796385021907,63.11256439972132,4.106437106917009
2.0,0.1,12.6,50.8523788937606,4.103409511335978,50.889786398226526,4.083063184815523
2.0,0.1,14.6,42.97244798841249,3.3032500434861256,43.04662492402005,3.354212804824138
2.0,0.125,4.6,132.3590421269471,5.74131191484801,134.71641850389375,6.08126949791986
2.0,0.125,6.6,97.77519255813024,4.931351043284947,97.55482542886817,4.990707579190826
2.0,0.125,8.6,78.6915679503762,4.641345747336571,78.54288176736901,4.645131045822527
2.0,0.125,10.6,62.67436817343068,3.9007932606652975,62.88238448699554,4.0051944315971
2.0,0.125,12.6,50.77991521510235,3.534675777082636,51.11539807493316,3.6719708002218323
2.0,0.125,14.6,45.54510395816942,3.7707947852229444,45.66138647331007,3.78475290763657
2.0,0.15,4.6,140.67560427708253,5.850189753223054,141.93040582673368,6.062810607066982
2.0,0.15,6.6,116.83848544634624,5.4530541143140505,116.30405179713081,5.535009095388846
2.0,0.15,8.6,106.08892389614435,5.013252005130544,105.85826217868197,5.0319716032677055
2.0,0.15,10.6,68.7024915014008,4.307537507508449,68.64465606809608,4.413306935362762
2.0,0.15,12.6,70.0075939994692,4.66599834931078,70.06609532403672,4.676003490251121
2.0,0.15,14.6,61.56897618875302,4.412805966477249,61.35790666502798,4.397343651266783
2.0,0.175,6.6,179.26525847833972,6.408631369914642,178.19600515680278,6.090349477920186
2.0,0.175,8.6,120.47866746876174,5.56110457255461,121.33885907472208,5.582911199552818
2.0,0.175,10.6,95.12226701685753,4.983831179215218,95.40244512424599,4.973728119066909
2.0,0.175,12.6,76.15032289707256,5.0624789894661015,76.33471805871977,5.336773385351982
2.0,0.175,14.6,81.1001885092692,4.911640006619381,81.39283980532275,4.981847569043894
2.0,0.2,6.6,194.09485087497086,6.2556478607371035,193.2800110778835,6.140962814702117
2.0,0.2,8.6,147.66913401825622,5.713894569320403,148.55467495782364,5.800561092686218
2.0,0.2,10.6,121.47530589444224,5.677138954568676,121.15740972520372,5.759606257183343
2.0,0.2,12.6,104.04624264928766,5.274863393674707,103.88551110286663,5.261504192910256
2.0,0.2,14.6,86.36971729048733,4.981278214022153,86.68076056094223,5.041483408404124
2.0,0.225,6.6,234.18171827950115,6.628788795889749,231.42451104876278,6.494376909040901
2.0,0.225,8.6,167.49007413414574,5.7866262037538885,168.0660417805205,5.860212845273942
2.0,0.225,10.6,140.9532491855631,5.915486451963539,143.0769066646012,5.901456878331518
2.0,0.225,12.6,117.57040264580993,5.338876304153676,117.92977968952715,5.314271313440923
